District_Name,Crop_Name,Irrigation_Method,Water_Consumption_L_ha,Water_Availability_L_ha
Sylhet,Garlic,Tube Well,11609.330885810616,11335.919980150127
Rajshahi,Gram,Drip Irrigation,12648.406038302792,12091.900253943171
Sylhet,Guava,Canal Irrigation,10063.162447916591,9810.943168837392
Jessore,Barley,Sprinkler Irrigation,10110.539993326256,10754.217313163708
Cumilla,Gram,Canal Irrigation,9320.45101775053,8695.537818813737
Cumilla,Bajra,Tube Well,13707.248507009224,13088.40603512336
Sylhet,Gram,Tube Well,6419.276991936418,6685.757927114612
Bogra,Gram,Tube Well,9289.883923057483,9468.516256279372
Mymensingh,Pulses,Tube Well,6437.159656087371,6909.587516713526
Mymensingh,Citrus,Tube Well,15661.876221224187,16224.039215387857
Chittagong,Opium,Sprinkler Irrigation,10553.033527645484,9809.797091748638
Cumilla,Fenugreek,Canal Irrigation,9733.308655797786,9502.633933285197
Bogra,Opium,Sprinkler Irrigation,7811.486749531211,8738.673824890717
Rangpur,Tomato,Sprinkler Irrigation,6562.789955907221,6767.8388552599845
Mymensingh,Sugarcane,Canal Irrigation,13435.987795036868,14307.01194996194
Barisal,Bajra,Sprinkler Irrigation,11392.330625198285,10973.489616156785
Sylhet,Fenugreek,Sprinkler Irrigation,14439.690538574308,14739.863314188262
Chittagong,Chilli,Canal Irrigation,9909.752939787137,10431.30298945327
Mymensingh,Onion,Tube Well,12835.02600869453,13622.75801145037
Mymensingh,Sugarcane,Tube Well,11629.659341985467,11675.119314403872
Dhaka,Pomegranate,Sprinkler Irrigation,6516.406866225762,5629.6164148168755
Rangpur,Oilseeds,Canal Irrigation,12487.54016587375,11780.396946155142
Dhaka,Opium,Canal Irrigation,8902.221311781012,8984.565486647485
Sylhet,Tomato,Drip Irrigation,10033.949035638458,10385.001062677577
Mymensingh,Maize,Tube Well,5680.971783779863,6249.5861295216355
Rangpur,Opium,Drip Irrigation,14601.97345705037,14377.082754334351
Sylhet,Garlic,Drip Irrigation,7218.003497841976,6720.685754586588
Bogra,Tomato,Sprinkler Irrigation,15963.099655793849,16372.357793579424
Sylhet,Cumin,Sprinkler Irrigation,13257.570180740451,14186.149826992512
Rangpur,Tomato,Sprinkler Irrigation,14120.947084017454,13269.88507210464
Chittagong,Chilli,Drip Irrigation,10153.058292675343,10010.073921476813
Mymensingh,Cotton,Sprinkler Irrigation,6723.227424893816,7415.255817074856
Dhaka,Mango,Tube Well,12977.27773757686,12286.889133173432
Chittagong,Mango,Drip Irrigation,13618.186915349524,13868.92024046748
Rangpur,Onion,Canal Irrigation,7361.595151100787,7776.958273889738
Mymensingh,Maize,Sprinkler Irrigation,13634.279339771629,14206.795818446342
Chittagong,Citrus,Tube Well,7095.4323788879665,6537.828541090872
Barisal,Fenugreek,Canal Irrigation,8522.56991173552,8109.718626075927
Bogra,Chilli,Tube Well,14931.395817121758,15578.772618972163
Dhaka,Gram,Canal Irrigation,8239.982405328281,9048.975322303666
Bogra,Coriander,Sprinkler Irrigation,13613.70107747452,13978.803799011575
Sylhet,Pomegranate,Drip Irrigation,9085.174931130705,9165.649557015828
Rangpur,Wheat,Canal Irrigation,10071.739448849285,10089.210634854711
Rajshahi,Barley,Canal Irrigation,14299.119224990502,13684.144000857856
Mymensingh,Mustard,Drip Irrigation,6889.199378585089,7801.751791531888
Mymensingh,Garlic,Drip Irrigation,12947.546168249088,12369.109118120135
Barisal,Fenugreek,Tube Well,13521.265671888106,12932.424807851938
Cumilla,Fennel,Drip Irrigation,12710.18554630436,12017.69470073965
Rajshahi,Opium,Canal Irrigation,6133.059552617516,5279.555610936549
Chittagong,Cotton,Drip Irrigation,11348.080971156303,10803.372241039617
Rangpur,Citrus,Tube Well,10890.190634568977,10699.086675977527
Sylhet,Wheat,Tube Well,11013.95655402179,11083.625294143794
Bogra,Mustard,Drip Irrigation,11497.93256942712,10643.111459025076
Mymensingh,Gram,Canal Irrigation,12684.691865658902,12287.393285348644
Jessore,Sugarcane,Tube Well,8163.199520499352,8807.44426081746
Dhaka,Onion,Sprinkler Irrigation,9916.312265891533,9189.075186550626
Cumilla,Garlic,Canal Irrigation,13943.963481004028,13232.114555920994
Sylhet,Wheat,Sprinkler Irrigation,7730.729879518505,6740.789557666515
Bogra,Pomegranate,Drip Irrigation,8971.757271053142,9468.350444518728
Sylhet,Bajra,Tube Well,14424.594625033218,15127.51232771632
Chittagong,Oilseeds,Sprinkler Irrigation,8666.711731395135,9336.20846513126
Barisal,Gram,Sprinkler Irrigation,11873.42203702272,12008.00732596832
Dhaka,Garlic,Tube Well,12262.89999826493,11409.18914258203
Jessore,Cotton,Drip Irrigation,7696.485269314778,7857.676576132166
Sylhet,Guava,Sprinkler Irrigation,12361.200413289487,11830.26611078133
Rangpur,Coriander,Drip Irrigation,13279.315411497582,12914.887285965033
Rajshahi,Mango,Canal Irrigation,9255.73704320351,8560.526967311776
Bogra,Guava,Canal Irrigation,14431.507674880544,13768.786696692505
Sylhet,Maize,Sprinkler Irrigation,14175.39300940438,14457.070098084112
Rangpur,Guava,Sprinkler Irrigation,13238.444726642763,12901.570627237445
Rajshahi,Tomato,Tube Well,10119.608326045878,9730.551918936548
Mymensingh,Gram,Sprinkler Irrigation,13269.83042310602,12433.77780927833
Rangpur,Pulses,Sprinkler Irrigation,8443.310384900395,9215.982049058186
Jessore,Mustard,Drip Irrigation,13915.548102979274,14178.801091901783
Bogra,Cumin,Tube Well,12124.622960993804,11550.1443333464
Dhaka,Garlic,Canal Irrigation,10546.981890410336,11544.43824043404
Rajshahi,Fennel,Sprinkler Irrigation,9864.564863409383,9311.178158658093
Bogra,Sugarcane,Sprinkler Irrigation,11408.142767529587,11428.96675421716
Cumilla,Guava,Drip Irrigation,11797.271396413676,12493.23507662141
Bogra,Fenugreek,Sprinkler Irrigation,12237.943642439866,11518.68502775404
Chittagong,Oilseeds,Sprinkler Irrigation,12623.944736670115,12590.951568124978
Sylhet,Barley,Sprinkler Irrigation,13625.997549273045,13089.497364481676
Rangpur,Guava,Sprinkler Irrigation,5463.334821739253,4876.882971174255
Sylhet,Pomegranate,Tube Well,10986.5068597392,11749.610822375753
Dhaka,Fennel,Canal Irrigation,6547.55675032349,7484.439551995902
Rangpur,Cotton,Sprinkler Irrigation,8243.694955155122,8000.731989268779
Bogra,Fennel,Drip Irrigation,10108.79849120498,9861.456053292071
Barisal,Chilli,Tube Well,9040.477636459944,9775.91648020244
Rajshahi,Onion,Drip Irrigation,10039.872681502624,9317.809295656883
Chittagong,Maize,Drip Irrigation,12174.971023916056,11736.590040615803
Chittagong,Oilseeds,Sprinkler Irrigation,9562.57236227422,9997.17777918241
Jessore,Fenugreek,Sprinkler Irrigation,10023.930484985807,9684.38001547191
Jessore,Onion,Tube Well,10952.760107700857,11134.34190531922
Cumilla,Wheat,Sprinkler Irrigation,5660.778337315934,5807.75136002047
Chittagong,Pulses,Drip Irrigation,15473.720640240846,14767.450840411006
Chittagong,Cotton,Sprinkler Irrigation,10569.079039696418,10379.991672629045
Bogra,Fennel,Drip Irrigation,14838.990137550123,15294.938768445518
Rangpur,Mustard,Sprinkler Irrigation,8966.382229719027,9951.933877134985
Rajshahi,Oilseeds,Sprinkler Irrigation,11379.8506978694,11581.5281266918
Bogra,Oilseeds,Canal Irrigation,8123.689169801193,8494.87149740953
Rajshahi,Coriander,Drip Irrigation,8372.023489117902,8142.947254601598
Jessore,Wheat,Sprinkler Irrigation,9738.809833035884,10557.48827921491
Cumilla,Pulses,Drip Irrigation,6936.134038941243,7739.350475666325
Bogra,Barley,Drip Irrigation,7608.3618690241055,7927.147091350755
Bogra,Garlic,Drip Irrigation,12398.89445386274,12948.635299998346
Cumilla,Chilli,Tube Well,10866.56894221022,9953.445508883182
