District_Name,Crop_Name,Market_Name,Price_Date,Price_Tk_kg
Cumilla,Barley,Cumilla Sadar Bazar,2024-09-05,39.84
Rangpur,Pomegranate,Rangpur Sadar Bazar,2024-11-20,37.58
Chittagong,Maize,Chittagong Sadar Bazar,2024-04-06,39.17
Bogra,Fenugreek,Bogra Sadar Bazar,2024-09-26,43.43
Bogra,Gram,Bogra Sadar Bazar,2024-10-06,46.13
Chittagong,Fennel,Chittagong Sadar Bazar,2025-03-17,42.74
Chittagong,Pulses,Chittagong Sadar Bazar,2025-02-01,40.49
Chittagong,Chilli,Chittagong Sadar Bazar,2024-09-29,47.19
Rajshahi,Onion,Rajshahi Sadar Bazar,2024-05-27,38.5
Rangpur,Fenugreek,Rangpur Sadar Bazar,2025-01-30,44.95
Bogra,Onion,Bogra Sadar Bazar,2025-03-01,38.62
Rangpur,Pomegranate,Rangpur Sadar Bazar,2024-11-14,42.07
Jessore,Tomato,Jessore Sadar Bazar,2024-05-10,39.45
Cumilla,Pulses,Cumilla Sadar Bazar,2024-06-04,39.73
Rangpur,Tomato,Rangpur Sadar Bazar,2024-10-16,38.19
Bogra,Pomegranate,Bogra Sadar Bazar,2025-05-05,46.46
Bogra,Sugarcane,Bogra Sadar Bazar,2024-05-10,36.48
Bogra,Tomato,Bogra Sadar Bazar,2025-04-30,36.45
Sylhet,Pulses,Sylhet Sadar Bazar,2025-03-29,50.18
Rajshahi,Cotton,Rajshahi Sadar Bazar,2024-09-21,44.69
Chittagong,Guava,Chittagong Sadar Bazar,2025-05-04,28.55
Sylhet,Opium,Sylhet Sadar Bazar,2025-01-29,37.29
Mymensingh,Mustard,Mymensingh Sadar Bazar,2024-09-10,31.3
Chittagong,Guava,Chittagong Sadar Bazar,2024-12-20,35.44
Rajshahi,Opium,Rajshahi Sadar Bazar,2025-03-01,24.94
Rangpur,Fenugreek,Rangpur Sadar Bazar,2025-01-21,39.34
Cumilla,Mustard,Cumilla Sadar Bazar,2024-06-06,34.52
Cumilla,Onion,Cumilla Sadar Bazar,2025-02-04,40.29
Bogra,Opium,Bogra Sadar Bazar,2024-05-26,32.2
Chittagong,Opium,Chittagong Sadar Bazar,2024-12-16,40.4
Bogra,Cumin,Bogra Sadar Bazar,2024-07-17,38.01
Bogra,Coriander,Bogra Sadar Bazar,2024-07-19,47.21
Jessore,Barley,Jessore Sadar Bazar,2025-01-03,46.77
Chittagong,Maize,Chittagong Sadar Bazar,2024-05-18,43.77
Jessore,Onion,Jessore Sadar Bazar,2024-12-25,38.43
Sylhet,Maize,Sylhet Sadar Bazar,2025-01-16,49.53
Jessore,Oilseeds,Jessore Sadar Bazar,2024-04-03,32.55
Cumilla,Mustard,Cumilla Sadar Bazar,2024-03-27,33.26
Bogra,Cotton,Bogra Sadar Bazar,2024-10-30,39.6
Dhaka,Mustard,Dhaka Sadar Bazar,2024-11-06,50.82
Sylhet,Coriander,Sylhet Sadar Bazar,2024-04-17,39.03
Chittagong,Mango,Chittagong Sadar Bazar,2025-04-22,39.12
Rajshahi,Pomegranate,Rajshahi Sadar Bazar,2024-04-10,33.08
Bogra,Garlic,Bogra Sadar Bazar,2025-04-16,44.54
Barisal,Cotton,Barisal Sadar Bazar,2025-03-16,44.58
Rajshahi,Fenugreek,Rajshahi Sadar Bazar,2024-04-13,43.79
Barisal,Bajra,Barisal Sadar Bazar,2024-05-10,36.98
Cumilla,Chilli,Cumilla Sadar Bazar,2024-05-20,36.61
Jessore,Cumin,Jessore Sadar Bazar,2024-05-20,33.79
Jessore,Bajra,Jessore Sadar Bazar,2025-03-31,40.4
Chittagong,Wheat,Chittagong Sadar Bazar,2025-05-14,34.81
Cumilla,Cumin,Cumilla Sadar Bazar,2025-02-22,34.35
Sylhet,Oilseeds,Sylhet Sadar Bazar,2024-09-06,37.97
Barisal,Bajra,Barisal Sadar Bazar,2024-07-28,37.65
Mymensingh,Guava,Mymensingh Sadar Bazar,2024-11-15,37.42
Bogra,Garlic,Bogra Sadar Bazar,2025-04-27,42.24
Jessore,Tomato,Jessore Sadar Bazar,2024-10-04,40.38
Cumilla,Mustard,Cumilla Sadar Bazar,2024-03-25,38.62
Chittagong,Chilli,Chittagong Sadar Bazar,2024-03-26,40.88
Jessore,Gram,Jessore Sadar Bazar,2024-09-20,35.24
Barisal,Barley,Barisal Sadar Bazar,2024-08-09,40.51
Dhaka,Maize,Dhaka Sadar Bazar,2025-02-24,40.72
Rangpur,Pomegranate,Rangpur Sadar Bazar,2025-05-01,32.79
Jessore,Oilseeds,Jessore Sadar Bazar,2025-05-18,44.78
Jessore,Garlic,Jessore Sadar Bazar,2024-07-22,35.77
Mymensingh,Coriander,Mymensingh Sadar Bazar,2025-02-08,40.43
Cumilla,Coriander,Cumilla Sadar Bazar,2024-09-07,45.59
Mymensingh,Opium,Mymensingh Sadar Bazar,2024-05-13,44.44
Bogra,Onion,Bogra Sadar Bazar,2024-10-28,40.16
Dhaka,Barley,Dhaka Sadar Bazar,2024-04-15,38.26
Cumilla,Cotton,Cumilla Sadar Bazar,2024-09-03,44.55
Sylhet,Barley,Sylhet Sadar Bazar,2024-08-17,43.24
Barisal,Garlic,Barisal Sadar Bazar,2024-11-02,37.03
Dhaka,Maize,Dhaka Sadar Bazar,2025-04-15,36.18
Jessore,Cumin,Jessore Sadar Bazar,2024-06-12,30.05
Sylhet,Mustard,Sylhet Sadar Bazar,2024-11-05,40.74
Bogra,Coriander,Bogra Sadar Bazar,2024-03-24,39.6
Mymensingh,Onion,Mymensingh Sadar Bazar,2024-04-27,45.45
Rangpur,Barley,Rangpur Sadar Bazar,2024-06-28,41.72
Dhaka,Onion,Dhaka Sadar Bazar,2024-04-04,46.4
Barisal,Fennel,Barisal Sadar Bazar,2024-07-24,36.65
Cumilla,Onion,Cumilla Sadar Bazar,2024-05-13,45.46
Barisal,Wheat,Barisal Sadar Bazar,2024-03-27,37.46
Dhaka,Bajra,Dhaka Sadar Bazar,2024-10-14,43.73
Bogra,Pomegranate,Bogra Sadar Bazar,2024-11-13,33.0
Mymensingh,Onion,Mymensingh Sadar Bazar,2025-03-06,41.13
Cumilla,Pomegranate,Cumilla Sadar Bazar,2025-04-07,30.47
Cumilla,Opium,Cumilla Sadar Bazar,2025-04-16,38.72
Mymensingh,Pulses,Mymensingh Sadar Bazar,2025-02-01,42.11
Rajshahi,Gram,Rajshahi Sadar Bazar,2025-02-12,37.5
Sylhet,Bajra,Sylhet Sadar Bazar,2024-11-20,34.96
Cumilla,Barley,Cumilla Sadar Bazar,2024-10-07,44.06
Barisal,Mustard,Barisal Sadar Bazar,2025-04-25,39.5
Barisal,Citrus,Barisal Sadar Bazar,2025-04-30,37.65
Dhaka,Maize,Dhaka Sadar Bazar,2024-10-21,40.2
Jessore,Barley,Jessore Sadar Bazar,2025-04-30,52.66
Rajshahi,Oilseeds,Rajshahi Sadar Bazar,2024-12-23,45.54
Dhaka,Mango,Dhaka Sadar Bazar,2024-04-27,45.58
Bogra,Fennel,Bogra Sadar Bazar,2024-09-12,42.09
Rangpur,Pulses,Rangpur Sadar Bazar,2024-05-25,40.8
Rajshahi,Fenugreek,Rajshahi Sadar Bazar,2025-03-29,28.5
Jessore,Mustard,Jessore Sadar Bazar,2025-05-01,36.74
Mymensingh,Bajra,Mymensingh Sadar Bazar,2024-10-16,37.69
Sylhet,Maize,Sylhet Sadar Bazar,2024-04-28,31.0
Rangpur,Guava,Rangpur Sadar Bazar,2024-04-30,34.44
Barisal,Chilli,Barisal Sadar Bazar,2025-02-16,30.49
Sylhet,Opium,Sylhet Sadar Bazar,2024-10-16,39.82
Dhaka,Guava,Dhaka Sadar Bazar,2024-08-07,43.93
Bogra,Onion,Bogra Sadar Bazar,2024-07-11,45.31
Jessore,Bajra,Jessore Sadar Bazar,2024-08-17,41.99
Mymensingh,Maize,Mymensingh Sadar Bazar,2025-03-08,35.38
Mymensingh,Bajra,Mymensingh Sadar Bazar,2025-03-17,30.73
Sylhet,Pulses,Sylhet Sadar Bazar,2024-06-24,31.57
Barisal,Opium,Barisal Sadar Bazar,2025-02-23,33.91
Rajshahi,Gram,Rajshahi Sadar Bazar,2024-06-20,35.73
Rajshahi,Barley,Rajshahi Sadar Bazar,2024-10-23,39.23
Rangpur,Cumin,Rangpur Sadar Bazar,2024-06-09,35.13
Rangpur,Mustard,Rangpur Sadar Bazar,2024-12-23,41.63
Rangpur,Coriander,Rangpur Sadar Bazar,2024-08-08,38.89
Rajshahi,Wheat,Rajshahi Sadar Bazar,2025-03-06,40.05
Cumilla,Tomato,Cumilla Sadar Bazar,2024-12-11,45.47
Barisal,Bajra,Barisal Sadar Bazar,2024-09-05,34.33
Chittagong,Fenugreek,Chittagong Sadar Bazar,2024-05-14,42.01
Mymensingh,Barley,Mymensingh Sadar Bazar,2024-07-18,39.93
Dhaka,Garlic,Dhaka Sadar Bazar,2025-05-05,38.4
Dhaka,Coriander,Dhaka Sadar Bazar,2025-02-02,44.25
Rangpur,Cumin,Rangpur Sadar Bazar,2024-09-28,44.22
Dhaka,Mango,Dhaka Sadar Bazar,2024-06-26,35.46
Bogra,Citrus,Bogra Sadar Bazar,2024-11-15,39.13
Dhaka,Gram,Dhaka Sadar Bazar,2024-09-29,41.35
Cumilla,Fenugreek,Cumilla Sadar Bazar,2025-02-26,38.69
Mymensingh,Tomato,Mymensingh Sadar Bazar,2024-08-24,42.81
Bogra,Cumin,Bogra Sadar Bazar,2024-11-07,41.35
Chittagong,Pomegranate,Chittagong Sadar Bazar,2024-12-22,48.8
Barisal,Pulses,Barisal Sadar Bazar,2025-01-05,32.65
Rangpur,Fenugreek,Rangpur Sadar Bazar,2024-12-12,39.41
Jessore,Maize,Jessore Sadar Bazar,2024-06-06,35.64
Sylhet,Cumin,Sylhet Sadar Bazar,2025-01-21,42.9
Dhaka,Coriander,Dhaka Sadar Bazar,2024-11-06,32.24
Sylhet,Cotton,Sylhet Sadar Bazar,2025-02-03,41.66
Bogra,Wheat,Bogra Sadar Bazar,2024-06-30,36.98
Rangpur,Cumin,Rangpur Sadar Bazar,2025-01-09,36.48
Rangpur,Oilseeds,Rangpur Sadar Bazar,2024-04-18,33.06
Rajshahi,Wheat,Rajshahi Sadar Bazar,2025-03-13,37.77
Dhaka,Tomato,Dhaka Sadar Bazar,2025-02-03,45.21
Sylhet,Onion,Sylhet Sadar Bazar,2025-02-03,39.88
Cumilla,Barley,Cumilla Sadar Bazar,2024-12-17,43.01
Rangpur,Coriander,Rangpur Sadar Bazar,2025-04-25,47.99
Jessore,Tomato,Jessore Sadar Bazar,2025-03-13,41.27
Rangpur,Cotton,Rangpur Sadar Bazar,2024-06-19,37.32
Rajshahi,Pulses,Rajshahi Sadar Bazar,2024-11-28,42.24
Chittagong,Pulses,Chittagong Sadar Bazar,2024-10-18,37.39
Barisal,Gram,Barisal Sadar Bazar,2024-08-18,37.58
Chittagong,Fenugreek,Chittagong Sadar Bazar,2024-07-03,32.7
Bogra,Mango,Bogra Sadar Bazar,2024-07-21,44.45
Mymensingh,Opium,Mymensingh Sadar Bazar,2025-02-28,38.15
Dhaka,Opium,Dhaka Sadar Bazar,2024-11-19,40.87
Rangpur,Wheat,Rangpur Sadar Bazar,2025-03-22,35.03
Mymensingh,Opium,Mymensingh Sadar Bazar,2024-05-13,42.09
Bogra,Maize,Bogra Sadar Bazar,2025-02-09,36.34
Jessore,Mustard,Jessore Sadar Bazar,2024-12-17,39.32
Jessore,Chilli,Jessore Sadar Bazar,2025-03-26,44.21
Barisal,Bajra,Barisal Sadar Bazar,2024-12-29,43.8
Bogra,Guava,Bogra Sadar Bazar,2024-10-14,39.89
Jessore,Fennel,Jessore Sadar Bazar,2024-05-01,31.51
Rangpur,Pulses,Rangpur Sadar Bazar,2024-07-22,54.37
Sylhet,Coriander,Sylhet Sadar Bazar,2024-07-01,48.38
Sylhet,Citrus,Sylhet Sadar Bazar,2025-01-12,43.47
