District_Name,Crop_Name,Season,Cultivated_Area_Hectares,Yield_Quintals_per_Ha,Production_Metric_Tons
Jessore,Wheat,Kharif,16490.142459033697,30.69198608958731,5061.152229679753
Chittagong,Gram,Rabi,16943.06561430208,45.81823176835924,7763.013071826106
Dhaka,Wheat,Rabi,14297.539875829993,29.752628902482016,4253.893981440086
Mymensingh,Coriander,Rabi,19737.638446522174,42.026510778509355,8295.040749150847
Mymensingh,Citrus,Rabi,13591.576842195143,38.19593346538869,5191.429647542034
Rangpur,Wheat,Rabi,13609.746921562612,40.476299769816144,5508.721961885008
Sylhet,Cotton,Rabi,15725.886814698102,24.569754522436728,3863.811786847568
Sylhet,Gram,Rabi,9825.2465024609,32.558392734914605,3198.9423434446817
Sylhet,Guava,Kharif,11961.506638996729,46.59791993069445,5573.813286144397
Rajshahi,Garlic,Rabi,12275.927773436368,42.36129735790658,5200.24226754722
Cumilla,Mustard,Kharif,19396.94630676466,44.70252606335523,8670.924978276493
Bogra,Guava,Rabi,15202.584614063771,36.5428318255787,5555.454928658627
Dhaka,Fenugreek,Rabi,13366.851826424452,44.81839184994944,5990.808029569034
Jessore,Maize,Rabi,11547.019267733092,35.79943234551442,4133.767350675623
Rajshahi,Fennel,Kharif,13198.083930243583,28.218505095622184,3724.301986380279
Sylhet,Bajra,Kharif,13194.88016331181,50.42611943789738,6653.666030839041
Jessore,Coriander,Rabi,14959.5083257862,34.296805639539244,5130.633495125584
Barisal,Oilseeds,Kharif,17467.634736309567,30.276137502721703,5288.525111238265
Mymensingh,Maize,Kharif,15626.590785014268,37.04284337791913,5788.533549801177
Dhaka,Maize,Rabi,11015.441853304708,46.01450388713084,5068.700919773532
Cumilla,Cotton,Rabi,17215.39973998623,30.793381210797985,5301.2036688966855
Bogra,Opium,Kharif,14653.05515283528,29.40284776689259,4308.415499786967
Rajshahi,Pomegranate,Kharif,10564.434028897718,26.515066022755143,2801.166657692642
Chittagong,Maize,Kharif,13618.083687120636,48.29236311582901,6576.494423601774
Cumilla,Cumin,Kharif,16030.854868705384,28.046775038519435,4496.1378017773395
Chittagong,Chilli,Kharif,15972.251908184386,26.22251059392608,4188.32544871221
Dhaka,Gram,Rabi,12969.233999082124,43.17482643027152,5599.444268439468
Cumilla,Coriander,Rabi,18092.99856748785,37.843198459273616,6846.969355127961
Bogra,Tomato,Kharif,12482.347430332084,47.75325487001329,5960.727182167035
Dhaka,Fenugreek,Rabi,15993.790294210692,46.144220115001914,7380.209798092394
Mymensingh,Cotton,Kharif,13562.47728646413,27.27288024225128,3698.8781882198937
